pc_version,pc_build,client_pin,mode,callee,ordering,key_dist,records,partitions,max_poll_records,buffer,delay_ms,concurrency,repeat,msg_per_sec,peak_in_flight,inflight_p50,load_1m,residence_p50_ms,residence_p99_ms,residence_p999_ms,residence_max_ms,drain_p50_ms,drain_p99_ms,drain_p999_ms,drain_max_ms,e2e_p50_ms,e2e_p99_ms,e2e_p999_ms,e2e_max_ms,arrival_requested,arrival_achieved,feed_lag_p99_ms,backlog_p99,backlog_max,injected_failures
LOCAL,2426224418,NATIVE,core,async,UNORDERED,distinct,12000,24,500,20000,10,24,1,1096.9,24,23,7.09,3488,6709,7783,7645,6600,9830,10907,10910,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core,async,UNORDERED,distinct,12000,24,500,20000,10,24,2,1091.4,24,23,7.03,3488,6709,7783,7710,6599,9882,10974,10974,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core-vt,async,KEY,distinct,12000,24,500,20000,10,24,1,1030.4,24,24,6.33,3757,7515,8589,8368,6993,10520,11619,11619,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core-vt,async,KEY,distinct,12000,24,500,20000,10,24,2,1027.8,24,24,5.38,3757,7515,8589,8423,6973,10543,11643,11643,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core-vt,async,UNORDERED,distinct,12000,24,500,20000,10,24,1,1037.8,24,24,5.64,3757,7247,8320,8315,6902,10453,11542,11542,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core-vt,async,UNORDERED,distinct,12000,24,500,20000,10,24,2,1028.1,24,24,5.73,3757,7515,8589,8400,6974,10545,11639,11639,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core-dpvt,async,KEY,distinct,12000,24,500,20000,10,24,1,1040.9,24,24,5.73,3623,7247,8320,8268,6842,10409,11510,11510,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core-dpvt,async,KEY,distinct,12000,24,500,20000,10,24,2,1043.8,24,24,5.98,3623,7247,8321,8254,6829,10374,11475,11475,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core-dpvt,async,UNORDERED,distinct,12000,24,500,20000,10,24,1,1031.7,24,24,5.56,3757,7247,8589,8363,6917,10509,11612,11612,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core-dpvt,async,UNORDERED,distinct,12000,24,500,20000,10,24,2,1037.8,24,24,5.24,3758,7247,8321,8320,6916,10459,11560,11561,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,vertx,async,KEY,distinct,12000,24,500,20000,10,24,1,1300.0,24,23,5.24,3083,5901,6170,5977,-,-,-,-,-,-,-,-,-,-,-,0,0,112
LOCAL,2426224418,NATIVE,vertx,async,KEY,distinct,12000,24,500,20000,10,24,2,1246.9,24,24,5.05,3217,6438,6438,6381,-,-,-,-,-,-,-,-,-,-,-,0,0,112
LOCAL,2426224418,NATIVE,vertx,async,UNORDERED,distinct,12000,24,500,20000,10,24,1,1266.4,24,23,5.12,3351,6170,6438,6193,-,-,-,-,-,-,-,-,-,-,-,0,0,112
LOCAL,2426224418,NATIVE,vertx,async,UNORDERED,distinct,12000,24,500,20000,10,24,2,1316.8,24,23,5.42,3083,5901,5901,5851,-,-,-,-,-,-,-,-,-,-,-,0,0,112
LOCAL,2426224418,NATIVE,reactor,async,KEY,distinct,12000,24,500,20000,10,24,1,1130.3,24,23,5.18,3213,6434,7508,7381,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,reactor,async,KEY,distinct,12000,24,500,20000,10,24,2,1126.1,24,23,4.92,3347,6434,7508,7398,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,reactor,async,UNORDERED,distinct,12000,24,500,20000,10,24,1,1158.9,24,22,4.39,3213,6166,7239,7118,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,reactor,async,UNORDERED,distinct,12000,24,500,20000,10,24,2,1152.7,24,22,5.30,3213,6166,7239,7144,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,mutiny,async,KEY,distinct,12000,24,500,20000,10,24,1,1150.5,24,21,5.80,3213,6166,7239,7205,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,mutiny,async,KEY,distinct,12000,24,500,20000,10,24,2,1133.3,24,22,6.52,3347,6434,7508,7343,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,mutiny,async,UNORDERED,distinct,12000,24,500,20000,10,24,1,1140.0,24,23,7.70,3347,6434,7508,7299,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,mutiny,async,UNORDERED,distinct,12000,24,500,20000,10,24,2,1117.4,24,22,7.33,3481,6434,7508,7475,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,proxy,async,KEY,distinct,12000,24,500,20000,10,24,1,739.5,23,13,7.48,6173,11810,12347,12982,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,proxy,async,KEY,distinct,12000,24,500,20000,10,24,2,735.2,24,12,8.76,6172,11809,12346,13067,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,proxy,async,UNORDERED,distinct,12000,24,500,20000,10,24,1,742.3,24,14,8.93,6172,11809,11809,12907,-,-,-,-,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,proxy,async,UNORDERED,distinct,12000,24,500,20000,10,24,2,733.8,24,13,8.11,6441,12347,12347,13088,-,-,-,-,-,-,-,-,-,-,-,0,0,113
0.5.3.3,2204298880,NATIVE,core,async,KEY,zipf,12000,24,500,20000,10,24,1,370.8,24,2,5.74,-,-,-,-,6484,30661,32173,32333,-,-,-,-,-,-,-,0,0,0
0.5.3.3,2204298880,NATIVE,core,async,KEY,zipf,12000,24,500,20000,10,24,2,368.6,24,2,4.93,-,-,-,-,6530,30879,32363,32523,-,-,-,-,-,-,-,0,0,0
0.5.3.3,2204298880,NATIVE,core,async,UNORDERED,zipf,12000,24,500,20000,10,24,1,1228.5,24,23,4.56,-,-,-,-,6500,9687,9746,9749,-,-,-,-,-,-,-,0,0,0
0.5.3.3,2204298880,NATIVE,core,async,UNORDERED,zipf,12000,24,500,20000,10,24,2,1227.1,24,23,4.32,-,-,-,-,6537,9705,9760,9772,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core,async,KEY,zipf,12000,24,500,20000,10,24,1,371.0,24,2,4.24,3354,27916,28990,29103,6484,30638,32163,32333,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core,async,KEY,zipf,12000,24,500,20000,10,24,2,370.8,24,2,4.46,3355,27917,28991,29106,6535,30686,32193,32349,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core,async,UNORDERED,zipf,12000,24,500,20000,10,24,1,1230.3,24,23,4.23,3353,6440,6709,6481,6515,9679,9740,9743,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core,async,UNORDERED,zipf,12000,24,500,20000,10,24,2,1234.3,24,23,4.71,3353,6440,6440,6441,6483,9635,9693,9702,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-vt,async,KEY,zipf,12000,24,500,20000,10,24,1,362.1,24,2,4.40,3623,28990,30064,29875,6878,31507,32962,33133,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-vt,async,KEY,zipf,12000,24,500,20000,10,24,2,363.2,24,2,5.08,3757,28990,30064,29787,6871,31358,32855,33019,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-vt,async,UNORDERED,zipf,12000,24,500,20000,10,24,1,1169.0,24,24,5.44,3623,6978,7247,7004,6755,10181,10245,10245,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-vt,async,UNORDERED,zipf,12000,24,500,20000,10,24,2,1152.3,24,24,6.48,3622,7246,7246,7145,6840,10322,10398,10398,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-dpvt,async,KEY,zipf,12000,24,500,20000,10,24,1,362.9,24,2,6.32,3623,28991,30064,29815,6825,31368,32888,33049,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-dpvt,async,KEY,zipf,12000,24,500,20000,10,24,2,360.3,24,2,5.83,3623,28991,30064,30034,6797,31674,33144,33293,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-dpvt,async,UNORDERED,zipf,12000,24,500,20000,10,24,1,1149.4,24,24,10.36,3623,7247,7247,7161,6801,10347,10415,10416,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-dpvt,async,UNORDERED,zipf,12000,24,500,20000,10,24,2,1161.2,24,24,9.30,3623,7247,7247,7068,6752,10234,10309,10309,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,vertx,async,KEY,zipf,12000,24,500,20000,10,24,1,410.5,24,2,9.66,3217,24692,26839,25969,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,vertx,async,KEY,zipf,12000,24,500,20000,10,24,2,405.3,24,2,8.50,3217,25766,26839,26338,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,vertx,async,UNORDERED,zipf,12000,24,500,20000,10,24,1,1282.7,24,22,9.37,3217,6170,6170,6083,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,vertx,async,UNORDERED,zipf,12000,24,500,20000,10,24,2,1252.9,24,24,9.00,3217,6438,6438,6337,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,reactor,async,KEY,zipf,12000,24,500,20000,10,24,1,409.0,24,2,11.79,3213,24688,26835,26084,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,reactor,async,KEY,zipf,12000,24,500,20000,10,24,2,406.9,24,2,9.83,3481,25761,26835,26201,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,reactor,async,UNORDERED,zipf,12000,24,500,20000,10,24,1,1270.4,24,23,9.02,3213,6166,6434,6206,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,reactor,async,UNORDERED,zipf,12000,24,500,20000,10,24,2,1272.7,24,23,8.33,3347,6166,6166,6153,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,mutiny,async,KEY,zipf,12000,24,500,20000,10,24,1,410.0,24,2,9.26,3213,24688,26835,25991,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,mutiny,async,KEY,zipf,12000,24,500,20000,10,24,2,410.4,24,2,8.41,3213,24688,26835,25973,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,mutiny,async,UNORDERED,zipf,12000,24,500,20000,10,24,1,1287.1,24,23,9.50,3213,6166,6166,6087,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,mutiny,async,UNORDERED,zipf,12000,24,500,20000,10,24,2,1291.6,24,22,8.50,3213,6166,6166,6067,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,proxy,async,KEY,zipf,12000,24,500,20000,10,24,1,75.4,24,0,8.25,6173,146028,154618,155804,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,proxy,async,KEY,zipf,12000,24,500,20000,10,24,2,80.6,24,0,5.89,5905,133143,146028,145546,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,proxy,async,UNORDERED,zipf,12000,24,500,20000,10,24,1,796.9,24,14,5.00,5905,11810,11810,11805,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,proxy,async,UNORDERED,zipf,12000,24,500,20000,10,24,2,814.7,24,14,5.64,5903,11809,11809,11459,-,-,-,-,-,-,-,-,-,-,-,0,0,0
0.5.3.3,2204298880,NATIVE,core,async,KEY,zipf,12000,24,500,20000,10,24,1,240.4,24,1,5.26,-,-,-,-,6754,47213,49745,49898,-,-,-,-,-,-,-,0,0,113
0.5.3.3,2204298880,NATIVE,core,async,KEY,zipf,12000,24,500,20000,10,24,2,243.4,24,1,5.29,-,-,-,-,6781,46602,49111,49287,-,-,-,-,-,-,-,0,0,113
